horizon,prauc,rocauc,brier,brier_rec
0,0.7108,0.9652,0.042,0.3721
1,0.4065,0.909,0.0697,0.5676
3,0.3066,0.8129,0.0924,0.7333
6,0.1417,0.6915,0.1144,0.868
