recession,first_signal,rec_start,announced,months_before,prob_at_signal
1990-1991,not in sample,,,,
2001,2001-10,2001-03-01,2001-11-01,1.0,0.486
2008-2009,2007-12,2007-12-01,2008-12-01,12.0,0.797
2020,2020-03,2020-02-01,2020-06-01,3.0,0.556
