bin,n,mean_pred,mean_obs,cal_error
0.0–0.1,288,0.0081,0.0278,0.0196
0.1–0.2,3,0.1484,0.3333,0.1849
0.2–0.3,3,0.2228,0.6667,0.4439
0.3–0.4,1,0.3371,0.0,0.3371
0.4–0.5,2,0.491,0.5,0.009
0.5–0.6,3,0.5382,1.0,0.4618
0.7–0.8,3,0.754,0.6667,0.0873
0.8–0.9,7,0.8486,0.8571,0.0086
0.9–1.0,6,0.9383,0.8333,0.105
